keyword,score,category
request,0.5,conditional access
contact,0.5,conditional access
author,0.5,conditional access
gitlab,1,open access
\bgit\b,1,open access
https,1,open access
github,1,open access
www.,1,open access
zenodo,1,open access
darus,1,open access
doi,1,open access
.org,1,open access
et al,1,open access
